day,cost(s)
2024-08-30,26977
2024-08-31,42
2024-09-01,79
2024-09-02,24734
2024-09-03,29141
2024-09-04,27842
2024-09-05,29539
2024-09-06,29913
2024-09-07,446
2024-09-08,0
2024-09-09,28421
2024-09-09,28421
2024-09-10,28900
2024-09-11,24175
2024-09-12,20567
2024-09-13,27193
2024-09-14,24412
2024-09-15,0
2024-09-16,0
2024-09-17,0
2024-09-18,26578
2024-09-19,32698
2024-09-20,24743
2024-09-21,0
2024-09-22,223
2024-09-23,21848
2024-09-24,27720
2024-09-25,25734
2024-09-26,28094
2024-09-27,24601
2024-09-28,0
2024-09-29,10939
2024-09-30,0
2024-10-01,0
2024-10-02,0
2024-10-03,0
2024-10-04,2161
2024-10-05,171
2024-10-06,0
2024-10-07,0
2024-10-08,25912
2024-10-09,24846
2024-10-10,26037
2024-10-11,28049
2024-10-12,18607
2024-10-13,0
2024-10-14,25446
2024-10-15,28558
2024-10-16,28557
2024-10-17,6647
2024-10-18,5947
2024-10-19,0
2024-10-20,0
2024-10-21,13298
2024-10-22,34689
2024-10-23,28360
2024-10-24,25528
2024-10-25,27018
2024-10-26,0
2024-10-27,0
2024-10-28,28878
2024-10-29,26594
2024-10-30,25444
2024-10-31,30805
2024-11-01,24662
2024-11-02,0
2024-11-03,0
2024-11-04,9114
2024-11-05,4090
2024-11-06,14628
2024-11-07,22349
2024-11-08,18365
2024-11-09,0
2024-11-10,0
2024-11-11,19384
2024-11-12,14235
2024-11-13,1808
2024-11-14,19837
2024-11-15,25603
2024-11-16,0
2024-11-17,0
2024-11-18,27426
2024-11-19,24209
2024-11-20,23042
2024-11-21,24207
2024-11-22,28267
2024-11-23,0
2024-11-24,0
2024-11-25,15293
2024-11-26,29479
2024-11-27,23763
2024-11-28,20749
2024-11-29,8783
2024-11-30,0
2024-12-01,0
2024-12-02,5394
2024-12-03,12868
2024-12-04,14073
2024-12-05,21238
2024-12-06,7881
2024-12-07,0
2024-12-08,0
2024-12-09,29085
2024-12-10,14535
2024-12-11,23203
2024-12-12,25669
2024-12-13,20935
2024-12-14,0
2024-12-15,0
2024-12-16,12841
2024-12-17,18666
2024-12-18,17643
2024-12-19,27305
2024-12-20,21035
2024-12-21,0
2024-12-22,0
2024-12-23,16844
2024-12-24,14576
2024-12-25,21776
2024-12-26,16687
2024-12-27,15717
2024-12-28,11214
2024-12-29,6567
2024-12-30,30046
2024-12-31,22739
2025-01-01,0
2025-01-02,16610
2025-01-03,26148
2025-01-04,1929
2025-01-05,0
2025-01-06,23727
2025-01-07,15334
2025-01-08,7689
2025-01-09,5145
2025-01-10,8477
2025-01-11,0
2025-01-12,0
2025-01-13,11230
2025-01-14,6843
2025-01-15,11717
2025-01-16,14889
2025-01-17,1924
